num,x,y,z,qx,qy,qz,qw
11,32.46364781699534,111.61732658963344,-1.42438171211076,-0.264607220017543,0.963302156983632,0.005231268247024,0.044772841073561
12,32.46383076814368,111.61820845266297,-1.4248783037097208,-0.26396491636742325,0.9634715488025879,0.005580807000490118,0.04487707842880614
13,32.45721200153128,111.61370128580765,-1.4272102310172685,-0.2638592424267901,0.9634862581191603,0.005625679219300105,0.04517612571725031
14,32.453585398736855,111.61505634201784,-1.4277587822794886,-0.2639466530984203,0.9634313330600583,0.005552177718201606,0.04584107458215249
15,32.448694345413045,111.61494407721268,-1.4283232827098535,-0.26374387222093015,0.9634394636637543,0.00555693484208773,0.04682616999464932
16,32.44478987273708,111.61272057800083,-1.4284675343887665,-0.263559752074362,0.9634497307382315,0.005841119914778468,0.04761044785623697
17,32.440295497252066,111.61577053289453,-1.430060945148157,-0.2629653416380315,0.9635927859033073,0.006199561942658077,0.04795557823669147
18,32.44535570080937,111.61029094500134,-1.4289269572016663,-0.26280374868340384,0.9636513510350285,0.006262189374418441,0.04765551710508965
19,32.47818917378327,111.6200212116476,-1.423233397053059,-0.26067095071335306,0.9642558146913387,0.007138019328565138,0.04701518869689158
20,32.44879392233311,111.61378546031725,-1.4343427295319942,-0.2585141191971319,0.964877506277574,0.0076296082431431995,0.04608293755130771
21,32.4058585705055,111.61026968754176,-1.4481210723262365,-0.25989704169105365,0.964505294737467,0.005494751639543973,0.04639905007702559
22,32.40379288801644,111.60924649646758,-1.4494489139587614,-0.26386030822390166,0.9633672438331967,0.001484466288057081,0.047948801998145454
23,32.427071565423596,111.61388178215421,-1.4333476410096617,-0.2660517370290397,0.9626917446018275,-0.0009280445168994925,0.049398550916957974
24,32.43780368255894,111.61911733848318,-1.4198200368815537,-0.26572550531573963,0.9627098777029182,-0.0003098083086524347,0.050789282498762814
25,32.422440430529605,111.60576936530076,-1.4298984747460803,-0.2643619637834453,0.9630116989800838,0.001792049400633931,0.05213452110644642
26,32.406772153091346,111.6023388138336,-1.442151199074708,-0.2642841587696119,0.962985802051175,0.0029658122658047974,0.05294744969210244
27,32.39340068096505,111.59943656907453,-1.448330139361262,-0.2659070813950325,0.9625449723905181,0.002429997614773096,0.05286487776685689
28,32.3949534194602,111.58874400903873,-1.4488123834068818,-0.26878769999152535,0.9617755695146367,0.0007252095710350809,0.05234883273903761
29,32.41849526572559,111.59484477955772,-1.4386715569107777,-0.27035347510886687,0.9613855468267146,0.00026978903796429836,0.05144663315643808
30,32.43848323206927,111.5917326060104,-1.432992930904465,-0.270367321988755,0.9614548279099043,0.0011045354113446227,0.05004902687256112
31,32.4352441386824,111.59158684909335,-1.433434651895767,-0.2691684390579689,0.9618560081428709,0.002744028440426319,0.04872208249322017
32,32.42687557023873,111.57852316526997,-1.4344329572166354,-0.26884006634510493,0.9619415497107744,0.004573423785635327,0.04870890537129942
33,32.42319848966248,111.57064398664558,-1.4397051285766713,-0.26865437898847583,0.9619511544481982,0.005926395644048126,0.04939310620689017
34,32.4137634614215,111.56200188719137,-1.4426135512852045,-0.26854813169738145,0.9619402651659583,0.007227458829970824,0.05000591018222315
35,32.41909850954443,111.54659235056715,-1.441545128954978,-0.26858262685471407,0.9618979597140804,0.008575122017201538,0.05041978710883938
36,32.422060557516446,111.53927245941938,-1.4419607514832482,-0.2675828695412277,0.9620791823357611,0.01138057694484871,0.05170625989798802
37,32.41994241709291,111.53009640577565,-1.4408658096319964,-0.26614338047888136,0.962321431047268,0.014621128020253591,0.05377161881352386
38,32.4132839472134,111.5299827469339,-1.4478616528554253,-0.2639056167421092,0.962733967566819,0.01759240207671692,0.056459193531162605
39,32.40306484258714,111.52142683164836,-1.4571674046149397,-0.2623394837422357,0.9629899342126875,0.019618248242202936,0.05868139578101536
40,32.38152014895826,111.51025540994873,-1.4619485188465131,-0.26186246684464254,0.9629971326553903,0.02020491671586801,0.06046761361290862
41,32.3979331602565,111.50794156170984,-1.4582612439862064,-0.26099536362747533,0.963137349855903,0.020449575490613537,0.0618844111207605
42,32.36846459781302,111.50137674046093,-1.4710663219772853,-0.2603888477180117,0.9633115028567745,0.019613904000120943,0.061999122717848444
43,32.36344164427218,111.49970755609185,-1.4620038785209721,-0.26163868787758077,0.9631170055386578,0.016892223111545524,0.06054323617297387
44,32.382671711554515,111.49592045108344,-1.4453215292202968,-0.26222612244631727,0.9630566852696439,0.016015421478413977,0.05918435552647074
45,32.3430699495811,111.49151517636315,-1.4487403480174348,-0.262561666439106,0.9629380913547423,0.016758560454732632,0.05942014966567105
46,32.33723387546698,111.4860945890882,-1.4546316703831066,-0.2657393658589701,0.9619957297306788,0.016720195200819934,0.06055774504766174
47,32.35000102735922,111.4934958024111,-1.4545759447145248,-0.2674990044457094,0.961493707553221,0.015903497878895154,0.06100173531410055
48,32.35393736216997,111.5096578943331,-1.4546696234755412,-0.26762653463404634,0.9614482619579556,0.014572470457635264,0.06148919126610237
49,32.39290911726539,111.52078793187755,-1.4382206590286892,-0.2662078583532713,0.9617954717924314,0.013590453143498445,0.062435135732160085
50,32.37788529954909,111.52479168275943,-1.4379407155386,-0.26274523281316636,0.9626783774851925,0.015087954233786203,0.06314774575130433
51,32.36727717921438,111.51082346163636,-1.4453973846875643,-0.2618089188272269,0.9628723612520199,0.016471828207324627,0.0637305643705326
52,32.35541484698507,111.499278123648,-1.4505831050320774,-0.2617985999832593,0.9628973673669853,0.01744229899226558,0.06313413633208964
53,32.384793196275325,111.51184719027842,-1.447529364609703,-0.26066057977554996,0.9633200977003084,0.01930105841914161,0.06081053084494057
54,32.38149834865888,111.50575081140904,-1.448223683463836,-0.2602998261309791,0.9635963380142158,0.020463274965551066,0.0575095840661302
55,32.38991207482106,111.51761553940152,-1.4471495153141818,-0.2591447208918432,0.9640167452772805,0.021980713209490927,0.0550688360662313
56,32.37063898442388,111.51382690759954,-1.4559288250723759,-0.2591020358844879,0.9640587629945057,0.022053406827312685,0.05450214437364977
57,32.35867446542511,111.51715796213637,-1.4571829177596765,-0.260166902431428,0.9637446298368808,0.02124239612300229,0.05530128340972745
