frame,smvs
11,13708.425040244307
12,13814.597034623646
13,13667.352286455904
14,13746.16043145989
15,13837.490809225057
16,13716.843339073383
17,13986.772240375105
18,13694.686915393679
19,13977.364094059738
20,13632.903612713384
21,13698.812464184482
22,13609.230611777288
23,13693.118507170266
24,13647.670528838657
25,13589.159878337436
26,13568.798060563058
27,13527.434831186118
28,13556.452547419265
29,13523.517148158702
30,13595.200957070896
31,13467.224223555033
32,13643.349830393887
33,13468.763531618408
34,13590.601219585675
35,13597.225061537789
36,13548.328119499003
37,13658.200163630152
38,13818.656056965086
39,13728.810469371048
40,13724.176437076632
41,13698.271832059954
42,13604.594332927814
43,13484.055810649528
44,13291.450689802934
45,13457.20398061034
46,13499.502623322758
47,13512.386728129892
48,12911.555511625173
49,13670.33078627859
50,13598.632784046762
51,13497.40440132622
52,13485.108225559381
53,13388.953601621002
54,13515.331191743071
55,13328.991557301371
56,13524.07008120615
57,13518.962887949263
58,13410.76551689197
59,13403.886530053102
60,13430.325469799975
61,13213.068862291731
62,13445.333871839795
63,13501.798961241175
64,13377.956764466813
65,13228.292661475352
66,13420.803663252149
67,13383.437600865498
68,12138.901679615232
69,13399.78219538302
70,13452.502963202498
71,13407.900094843257
72,13425.07946152714
73,13450.727728624666
74,13475.067822516974
75,13371.931790397466
76,13411.344807103698
77,13454.18254790118
78,13486.589608668768
79,13561.063763704835
80,13528.826828246782
81,13230.301317202315
82,13528.621491706326
83,13555.464427580606
84,13520.398017937972
85,13548.152340011173
86,13056.132022782669
87,13569.79639598716
88,13604.195163198214
89,13696.778104779913
90,13891.965269642596
91,13751.532210452759
92,13821.757678333106
93,13767.739232397664
94,13754.682546382834
95,13724.692732712063
96,13913.868320610465
97,13763.997917538247
98,13995.288435624903
99,13567.184449204422
100,13784.633262045423
101,13665.928444207691
102,13741.653717817951
103,13715.931184912723
104,13869.618589613365
105,13567.339075609514
106,13459.21532811701
107,13326.439786858835
108,12968.947500941655
109,13413.567193406176
110,12935.330538030465
111,12895.266868379014
112,11877.000889075533
113,11965.956093626746
114,12603.205528790733
115,12392.601463883058
116,12387.524917152356
117,12321.360582406513
118,12624.404430502995
119,12285.948022033253
120,12252.256727867021
121,12686.418070916363
122,11989.31317481792
123,12695.696257526393
124,12535.162700125524
125,12552.417015378138
126,12283.283523520107
127,12329.356488022411
128,12419.518485345516
129,12252.452193634184
130,12281.865459527478
131,12642.869297285677
132,12003.857342416917
133,12196.651594943638
134,12347.268467696174
135,12457.398150461146
136,12174.746269389576
137,12448.071633262314
138,12778.589891113463
139,12482.022492018272
140,12739.772759878953
141,12180.124250763909
142,12431.8517697619
143,12482.080976633772
144,12554.398481377882
145,13109.23069681588
146,12678.675813796468
147,12674.008715796368
148,12699.682266597843
149,12778.115189845776
150,12639.606558934693
151,12348.54524302511
152,12592.406730127383
153,12551.576065483854
154,12982.501981570369
155,13053.898926921083
156,12994.90224375604
157,12953.645769716091
158,13164.483358405463
159,12953.440508844478
160,12667.956428718728
161,12380.754008896534
162,12759.951592161633
163,12296.821097591952
164,12319.339743650127
165,12541.157638731107
166,12759.796287186107
167,13294.163555228302
168,13223.868852052678
169,12462.412723801506
170,12017.245111778566
171,12300.953522349248
172,13193.327328974605
173,13359.968131328118
174,13276.352959942482
175,13440.200301979454
176,13510.893897309204
177,13463.663696476759
178,13231.070072464192
179,12567.80272969791
180,13541.786523276272
181,13544.971951554518
182,13643.072461159863
183,13543.572899618193
184,13603.635073401063
185,13804.53600271635
186,12252.550288351276
187,12524.384186573972
188,14010.581374397054
189,12893.964531092875
190,12537.652587517068
191,12435.729042096573
192,12184.052906379366
193,12229.913811291246
194,12442.29730208718
195,12018.856818422579
196,12138.745774819141
197,12156.512700670208
198,12490.332710676685
199,12134.7733829766
200,12002.602354543518
201,11823.117256253763
202,12466.681081738856
203,12098.996909382904
204,11892.949403698489
205,11845.665746155937
206,11767.506189040794
207,12111.724944197662
208,12862.585751374538
209,12505.72761030586
210,12430.552573611747
211,12173.055710331788
212,11452.874201593871
213,11488.643374907193
214,11563.351651509514
215,11564.398310145847
216,11656.313249284322
217,11880.628534818028
218,11893.68952910007
219,11584.431506048797
220,11593.60381767762
221,11646.25020930107
222,11512.5477294033
223,11504.186551450666
224,11717.060208650511
225,11768.612682903946
226,11846.392600320542
227,11765.037900233734
228,11630.335091652216
229,11641.697518067589
230,11640.960048356379
231,11749.194863863604
232,11872.405734108266
233,11951.965896034535
234,11834.907933172859
235,11942.866457536173
236,12100.447439480518
237,11859.680712769788
238,12547.196196139008
239,12309.548693058738
240,12192.698915591134
241,12238.735478269313
242,11803.442566656295
243,11812.74360980534
244,11919.54157702415
245,12060.653441750967
246,11809.928103571738
247,11794.614006162303
248,11815.638196633472
249,12439.793450461375
250,12592.441832426033
251,11707.326681087216
252,12360.347520109324
253,11747.255124109903
254,11931.85989763266
255,11729.299038553532
256,11753.736982794337
257,11779.757184575037
258,12316.587103539252
259,12406.424716348169
260,12363.772492459011
261,12243.836392401252
262,12013.625586649197
263,12440.50647141174
264,12192.767637875007
265,12032.751016043321
266,11871.346510811967
267,12110.498155247858
268,12426.524775110043
269,12264.231682805661
270,12200.159173186892
271,12289.492096531802
272,12634.369684296362
273,12475.372093501202
274,12320.909588288721
275,12348.700657499447
276,12308.466397138705
277,12148.510610198513
278,12070.754744229085
279,12115.311237766284
280,12335.001529740292
281,12314.850294507678
282,12162.263080696594
283,12052.939865575829
284,12366.814412201866
285,12495.66840668728
286,12623.164093909289
287,12893.857989513783
288,12185.176218075609
289,12011.90964133529
290,12428.729890324259
291,11970.294515743788
292,12624.26483210874
293,12626.841109752559
294,12682.004920299007
295,13474.85961315958
296,13648.75059010729
297,13365.390348366525
298,12701.824926873514
299,12865.088723648132
300,11593.879854354265
301,13075.688201570156
302,11655.314163345756
303,12951.656814497182
304,12849.633285789725
305,11689.010960877911
306,11977.375476430541
307,11815.486028088753
308,11467.818491434293
309,11677.588498745055
310,13915.311021077618
311,11589.72088601902
312,11575.560218124821
313,11547.55823033945
314,11603.765370234953
315,13872.5826641972
316,12073.358722228939
317,13737.32058378951
318,14489.678983793032
319,14690.580101709138
320,14564.444822818996
321,14102.196469061302
322,14434.180603331273
323,15182.951045303656
324,15034.281139663513
325,14757.01093386738
326,15460.025486080413
327,15584.890886240875
328,15835.062354801992
329,14659.867649530464
330,15767.668397186093
331,15730.406265990801
332,16082.774751018043
333,14342.255199270247
334,15929.751052434947
335,16240.438813612265
336,16380.690430554614
337,16527.509994718937
338,16031.692458069512
339,16193.659712336055
340,16423.20841554623
341,16374.761647091736
342,16024.569063867062
343,16096.056281588757
344,16203.91640868295
345,15964.104766138382
346,15822.198702399057
347,14449.769935352097
348,15345.044241108331
349,15230.97505124065
350,15327.90257452431
351,14578.33391943068
352,14608.767015346817
353,13949.108402684353
354,14094.9013752457
355,14221.570349802952
356,14455.036302008575
357,14565.363729087627
358,14502.728334888145
359,13391.028095122938
360,12821.49954391518
361,13825.781107902243
362,13231.86277673732
363,13410.5202921138
364,13392.351500418945
