number,value,datetime_start,datetime_complete,duration,params_mirror_pos_x,params_mirror_pos_y,params_param_swing_speed,state
0,0.0,2026-01-12 17:20:25.469259,2026-01-12 17:20:25.489945,0 days 00:00:00.020686,58.439559495221914,70.5436806688191,8.607511217483925,COMPLETE
1,-6020443.954567011,2026-01-12 17:20:25.490947,2026-01-12 17:20:56.867032,0 days 00:00:31.376085,44.96244311783698,58.851791369004395,12.76367173710744,COMPLETE
2,-7697219.277151927,2026-01-12 17:20:56.868033,2026-01-12 17:21:29.061371,0 days 00:00:32.193338,37.3767514225088,91.5381322153434,5.8433429041961125,COMPLETE
3,0.0,2026-01-12 17:21:29.061371,2026-01-12 17:21:29.069710,0 days 00:00:00.008339,-8.57647548068595,84.12078181168759,10.581180302269441,COMPLETE
4,-4567147.71436521,2026-01-12 17:21:29.069710,2026-01-12 17:21:55.672382,0 days 00:00:26.602672,-10.215954480922873,55.86879467370376,11.932631477866337,COMPLETE
5,0.0,2026-01-12 17:21:55.673384,2026-01-12 17:21:55.688589,0 days 00:00:00.015205,58.60223198694785,14.024352012812031,0.022280929800229998,COMPLETE
6,0.0,2026-01-12 17:21:55.689599,2026-01-12 17:21:55.698198,0 days 00:00:00.008599,16.018297193825887,118.10821379976838,6.274120982425377,COMPLETE
7,0.0,2026-01-12 17:21:55.698198,2026-01-12 17:21:55.709923,0 days 00:00:00.011725,18.66322606621116,27.028978342686926,1.77695158815059,COMPLETE
8,-5136887.703762564,2026-01-12 17:21:55.709923,2026-01-12 17:22:26.309243,0 days 00:00:30.599320,55.24671115020607,36.813541318801846,8.620472579667192,COMPLETE
9,-10764344.85374071,2026-01-12 17:22:26.310242,2026-01-12 17:23:06.218247,0 days 00:00:39.908005,30.034784182275786,85.62716188489318,14.804117100836535,COMPLETE
