number,value,datetime_start,datetime_complete,duration,params_mirror_pos_x,params_mirror_pos_y,params_param_swing_speed,state
0,0.0,2026-01-12 20:33:44.967104,2026-01-12 20:33:44.982915,0 days 00:00:00.015811,19.867612876482774,62.338823130231546,9.983579954333523,COMPLETE
1,0.0,2026-01-12 20:33:44.983913,2026-01-12 20:33:44.995511,0 days 00:00:00.011598,28.58393081324094,47.89534954017337,9.242222549137315,COMPLETE
2,0.0,2026-01-12 20:33:44.995511,2026-01-12 20:33:45.000511,0 days 00:00:00.005000,21.21154621531428,47.449574173212696,0.9087687599330252,COMPLETE
3,0.0,2026-01-12 20:33:45.000511,2026-01-12 20:33:45.006512,0 days 00:00:00.006001,-17.057365893097874,98.97491051126383,11.859016239545179,COMPLETE
4,0.0,2026-01-12 20:33:45.006512,2026-01-12 20:33:45.016513,0 days 00:00:00.010001,-1.6424882467028752,49.68106479224232,1.6279968932329187,COMPLETE
5,0.0,2026-01-12 20:33:45.017513,2026-01-12 20:33:45.022775,0 days 00:00:00.005262,52.083488668517774,45.45059818141683,9.857973780452461,COMPLETE
6,0.0,2026-01-12 20:33:45.022775,2026-01-12 20:33:45.033222,0 days 00:00:00.010447,7.380690270220196,77.8441371538674,8.580527550808082,COMPLETE
7,0.0,2026-01-12 20:33:45.033222,2026-01-12 20:33:45.040634,0 days 00:00:00.007412,8.611403389704869,32.08802801180996,6.385970915796245,COMPLETE
8,0.0,2026-01-12 20:33:45.040634,2026-01-12 20:33:45.051802,0 days 00:00:00.011168,-0.6997851653941751,80.39562384027093,1.9185726094214473,COMPLETE
9,0.0,2026-01-12 20:33:45.051802,2026-01-12 20:33:45.063233,0 days 00:00:00.011431,-18.848288508661383,41.01875361410981,3.5513711154719187,COMPLETE
10,0.0,2026-01-12 20:33:45.063233,2026-01-12 20:33:45.073669,0 days 00:00:00.010436,32.307918302878285,24.273129838493354,11.898469918386091,COMPLETE
11,0.0,2026-01-12 20:33:45.074668,2026-01-12 20:33:45.079772,0 days 00:00:00.005104,12.6722811110414,49.46532461050629,11.628413581516876,COMPLETE
12,0.0,2026-01-12 20:33:45.079772,2026-01-12 20:33:45.084773,0 days 00:00:00.005001,42.34705928908434,1.4538536166857563,0.7968056091456804,COMPLETE
13,0.0,2026-01-12 20:33:45.084773,2026-01-12 20:33:45.090774,0 days 00:00:00.006001,55.14422962991405,68.10454487592376,14.986915810060257,COMPLETE
14,0.0,2026-01-12 20:33:45.090774,2026-01-12 20:33:45.095774,0 days 00:00:00.005000,50.3009096036361,40.41030172115184,11.452823638414838,COMPLETE
15,0.0,2026-01-12 20:33:45.095774,2026-01-12 20:33:45.101807,0 days 00:00:00.006033,-14.09221451430029,2.0407660215496337,2.6988897821134317,COMPLETE
16,0.0,2026-01-12 20:33:45.101807,2026-01-12 20:33:45.107057,0 days 00:00:00.005250,23.579969114459317,30.39386501535251,2.0238778643360362,COMPLETE
17,0.0,2026-01-12 20:33:45.108066,2026-01-12 20:33:45.117312,0 days 00:00:00.009246,11.896944338334599,87.35029572746514,14.92690951132328,COMPLETE
18,0.0,2026-01-12 20:33:45.118314,2026-01-12 20:33:45.128314,0 days 00:00:00.010000,-18.244167445060846,60.62189098694697,2.282410121922265,COMPLETE
19,0.0,2026-01-12 20:33:45.129314,2026-01-12 20:33:45.139431,0 days 00:00:00.010117,52.43101400654206,51.464830208386616,5.292288274998752,COMPLETE
20,0.0,2026-01-12 20:33:45.140431,2026-01-12 20:33:45.150535,0 days 00:00:00.010104,48.524909761016886,115.58698757217573,9.229301113030374,COMPLETE
21,0.0,2026-01-12 20:33:45.151536,2026-01-12 20:33:45.156940,0 days 00:00:00.005404,26.35804959930202,97.94913411149827,8.21066829808718,COMPLETE
