number,value,datetime_start,datetime_complete,duration,params_mirror_pos_x,params_mirror_pos_y,params_param_swing_speed,state
0,-1000000000.0,2026-01-12 15:24:37.527924,2026-01-12 15:24:37.552593,0 days 00:00:00.024669,-5.394200625233383,23.6938910731009,4.4906827787088845,COMPLETE
1,-1000000000.0,2026-01-12 15:24:37.552593,2026-01-12 15:24:37.562649,0 days 00:00:00.010056,29.16392038472962,88.96591039485274,0.09447003352945293,COMPLETE
2,-1000000000.0,2026-01-12 15:24:37.562649,2026-01-12 15:24:37.573026,0 days 00:00:00.010377,37.31278610577132,6.045208841719765,2.8384140115722256,COMPLETE
3,-1000000000.0,2026-01-12 15:24:37.574025,2026-01-12 15:24:37.583038,0 days 00:00:00.009013,40.827921856339,88.65231176737507,11.718205391290578,COMPLETE
4,0.0,2026-01-12 15:24:37.583038,2026-01-12 15:24:37.588381,0 days 00:00:00.005343,39.00802157951751,17.43562307465293,8.978520885395902,COMPLETE
5,-1000000000.0,2026-01-12 15:24:37.588381,2026-01-12 15:24:37.598593,0 days 00:00:00.010212,45.74579008732519,12.391628167175103,7.492159836883023,COMPLETE
6,0.0,2026-01-12 15:24:37.598593,2026-01-12 15:24:37.604595,0 days 00:00:00.006002,-13.810414769171384,112.61547124302348,3.511150445491962,COMPLETE
7,-1000000000.0,2026-01-12 15:24:37.604595,2026-01-12 15:24:37.614595,0 days 00:00:00.010000,9.340148787534417,67.21595409721922,0.13566029915192568,COMPLETE
8,-1000000000.0,2026-01-12 15:24:37.614595,2026-01-12 15:24:37.624387,0 days 00:00:00.009792,24.18881173395861,9.689283419211305,1.677488305949752,COMPLETE
9,0.0,2026-01-12 15:24:37.625389,2026-01-12 15:24:37.629547,0 days 00:00:00.004158,-13.473169635534132,86.07240628829531,9.820713649482828,COMPLETE
10,-1000000000.0,2026-01-12 15:24:37.629547,2026-01-12 15:24:37.640336,0 days 00:00:00.010789,40.81047317594311,79.12721305553687,13.917563455409649,COMPLETE
11,-1000000000.0,2026-01-12 15:24:37.640336,2026-01-12 15:24:37.649884,0 days 00:00:00.009548,46.7494440943516,60.49359631845712,0.40689267140016416,COMPLETE
12,-1000000000.0,2026-01-12 15:24:37.649884,2026-01-12 15:24:37.659417,0 days 00:00:00.009533,34.98948721942017,55.541462890691115,4.647706338188924,COMPLETE
13,0.0,2026-01-12 15:24:37.660419,2026-01-12 15:24:37.665420,0 days 00:00:00.005001,24.647554263129706,43.24963235667721,14.064047219457501,COMPLETE
14,0.0,2026-01-12 15:24:37.665420,2026-01-12 15:24:37.670506,0 days 00:00:00.005086,-11.24097548553081,66.61905614572748,7.425371414449991,COMPLETE
15,0.0,2026-01-12 15:24:37.670506,2026-01-12 15:24:37.675516,0 days 00:00:00.005010,11.586193910943415,99.67704721137744,14.592941338879868,COMPLETE
16,-1000000000.0,2026-01-12 15:24:37.675516,2026-01-12 15:24:37.685518,0 days 00:00:00.010002,45.61155170923814,29.35203207193201,5.285903455054722,COMPLETE
